allocation_id,transaction_id,fund_id,fund_name_raw,amount
283872206:1,283872206,fund_003,General Fund,500.0
283872418:1,283872418,fund_002,Building Fund,200.0
283872643:1,283872643,fund_003,General Fund,35.0
283872837:1,283872837,fund_003,General Fund,50.0
283873012:1,283873012,fund_003,General Fund,220.0
283873190:1,283873190,fund_003,General Fund,100.0
283874226:1,283874226,fund_005,Missions (General),5653.45
283874537:1,283874537,fund_003,General Fund,220.0
283874831:1,283874831,fund_003,General Fund,100.0
283875045:1,283875045,fund_003,General Fund,100.0
283875238:1,283875238,fund_003,General Fund,50.0
283875491:1,283875491,fund_003,General Fund,1000.0
283875768:1,283875768,fund_003,General Fund,1110.0
283875986:1,283875986,fund_003,General Fund,100.0
283876276:1,283876276,fund_006,Missions | Colombia,55.0
283876546:1,283876546,fund_003,General Fund,300.0
283876889:1,283876889,fund_003,General Fund,500.0
283877101:1,283877101,fund_003,General Fund,500.0
283877365:1,283877365,fund_003,General Fund,45.0
283877673:1,283877673,fund_003,General Fund,400.0
283877837:1,283877837,fund_003,General Fund,500.0
283878214:1,283878214,fund_003,General Fund,50.0
283878383:1,283878383,fund_003,General Fund,150.0
283878605:1,283878605,fund_003,General Fund,200.0
283878848:1,283878848,fund_003,General Fund,250.0
283879096:1,283879096,fund_003,General Fund,100.0
283879365:1,283879365,fund_003,General Fund,125.0
283879630:1,283879630,fund_003,General Fund,100.0
283880050:1,283880050,fund_003,General Fund,100.0
283880533:1,283880533,fund_003,General Fund,100.0
283880730:1,283880730,fund_003,General Fund,100.0
283880942:1,283880942,fund_003,General Fund,600.0
283881278:1,283881278,fund_003,General Fund,20.0
283881457:1,283881457,fund_003,General Fund,25.0
283882214:1,283882214,fund_003,General Fund,20.0
283882475:1,283882475,fund_003,General Fund,602.0
284137970:1,284137970,fund_003,General Fund,345.0
284187005:1,284187005,fund_003,General Fund,450.0
284351646:1,284351646,fund_003,General Fund,600.0
284441203:1,284441203,fund_003,General Fund,420.0
284621636:1,284621636,fund_003,General Fund,150.3
284621723:1,284621723,fund_003,General Fund,107.61
284633974:1,284633974,fund_003,General Fund,100.0
284638641:1,284638641,fund_003,General Fund,306.9
284643370:1,284643370,fund_003,General Fund,300.0
284685750:1,284685750,fund_003,General Fund,30.97
284698260:1,284698260,fund_003,General Fund,50.3
284817737:1,284817737,fund_003,General Fund,200.0
284860695:1,284860695,fund_003,General Fund,100.3
284885704:1,284885704,fund_003,General Fund,50.0
284885820:1,284885820,fund_003,General Fund,50.0
284886027:1,284886027,fund_003,General Fund,25.86
284887068:1,284887068,fund_003,General Fund,175.0
284887124:1,284887124,fund_003,General Fund,102.5
284887216:1,284887216,fund_003,General Fund,60.99
284889478:1,284889478,fund_003,General Fund,700.3
284894656:1,284894656,fund_003,General Fund,20.0
284896138:1,284896138,fund_003,General Fund,50.0
284896585:1,284896585,fund_003,General Fund,25.0
284898257:1,284898257,fund_003,General Fund,82.06
284901631:1,284901631,fund_003,General Fund,25.86
284905467:1,284905467,fund_003,General Fund,25.0
284908896:1,284908896,fund_005,Missions (General),30.81
284908896:2,284908896,fund_003,General Fund,30.81
284910261:1,284910261,fund_003,General Fund,41.19
284912826:1,284912826,fund_003,General Fund,100.3
284935858:1,284935858,fund_003,General Fund,50.0
284940923:1,284940923,fund_003,General Fund,400.0
285039380:1,285039380,fund_003,General Fund,335.3
285086336:1,285086336,fund_003,General Fund,306.9
285102521:1,285102521,fund_003,General Fund,33.3
285102822:1,285102822,fund_003,General Fund,80.0
285103098:1,285103098,fund_003,General Fund,51.41
285136390:1,285136390,fund_003,General Fund,200.0
285136659:1,285136659,fund_003,General Fund,640.0
285137246:1,285137246,fund_003,General Fund,246.0
285137840:1,285137840,fund_003,General Fund,150.0
285138195:1,285138195,fund_003,General Fund,150.0
285138531:1,285138531,fund_003,General Fund,125.0
285138962:1,285138962,fund_003,General Fund,20.0
285139541:1,285139541,fund_003,General Fund,850.0
285139910:1,285139910,fund_003,General Fund,35.0
285140236:1,285140236,fund_003,General Fund,50.0
285140584:1,285140584,fund_003,General Fund,290.0
285140988:1,285140988,fund_003,General Fund,450.0
285141322:1,285141322,fund_003,General Fund,200.0
285141665:1,285141665,fund_003,General Fund,100.0
285142208:1,285142208,fund_003,General Fund,500.0
285142618:1,285142618,fund_003,General Fund,400.0
285143084:1,285143084,fund_006,Missions | Colombia,50.0
285143467:1,285143467,fund_003,General Fund,305.0
285143879:1,285143879,fund_003,General Fund,819.27
285144201:1,285144201,fund_003,General Fund,800.0
285145017:1,285145017,fund_003,General Fund,500.0
285145572:1,285145572,fund_003,General Fund,50.0
285146388:1,285146388,fund_003,General Fund,2000.0
285149328:1,285149328,fund_003,General Fund,50.0
285149645:1,285149645,fund_003,General Fund,100.0
285149915:1,285149915,fund_003,General Fund,150.0
285150318:1,285150318,fund_003,General Fund,800.0
285150604:1,285150604,fund_003,General Fund,125.0
285150955:1,285150955,fund_003,General Fund,65.0
285151205:1,285151205,fund_003,General Fund,100.0
285151519:1,285151519,fund_003,General Fund,350.0
285151807:1,285151807,fund_003,General Fund,100.0
285153224:1,285153224,fund_003,General Fund,444.0
285153596:1,285153596,fund_003,General Fund,900.0
285156433:1,285156433,fund_003,General Fund,45.0
285156727:1,285156727,fund_003,General Fund,25.0
285163231:1,285163231,fund_003,General Fund,562.0
285298272:1,285298272,fund_003,General Fund,102.5
285298737:1,285298737,fund_003,General Fund,320.0
285320534:1,285320534,fund_003,General Fund,1412.0
285466813:1,285466813,fund_003,General Fund,325.3
285472028:1,285472028,fund_003,General Fund,30.97
285726941:1,285726941,fund_003,General Fund,80.0
285752891:1,285752891,fund_003,General Fund,150.3
285966067:1,285966067,fund_003,General Fund,10.53
286022183:1,286022183,fund_003,General Fund,20.3
286022429:1,286022429,fund_003,General Fund,335.3
286089504:1,286089504,fund_003,General Fund,540.0
286207727:1,286207727,fund_003,General Fund,50.0
286207953:1,286207953,fund_003,General Fund,50.0
286208020:1,286208020,fund_003,General Fund,25.86
286209394:1,286209394,fund_003,General Fund,175.0
286209493:1,286209493,fund_003,General Fund,102.5
286209504:1,286209504,fund_003,General Fund,102.5
286209664:1,286209664,fund_003,General Fund,60.99
286212005:1,286212005,fund_003,General Fund,700.3
286216651:1,286216651,fund_003,General Fund,900.0
286217893:1,286217893,fund_003,General Fund,20.0
286220217:1,286220217,fund_003,General Fund,50.0
286220717:1,286220717,fund_003,General Fund,25.0
286222109:1,286222109,fund_003,General Fund,82.06
286226066:1,286226066,fund_003,General Fund,25.86
286229687:1,286229687,fund_003,General Fund,25.0
286233880:1,286233880,fund_005,Missions (General),30.81
286233880:2,286233880,fund_003,General Fund,30.81
286235008:1,286235008,fund_003,General Fund,41.19
286237353:1,286237353,fund_003,General Fund,100.3
286267993:1,286267993,fund_006,Missions | Colombia,300.0
286328650:1,286328650,fund_003,General Fund,420.0
286372866:1,286372866,fund_003,General Fund,20.75
286409805:1,286409805,fund_003,General Fund,33.3
286409825:1,286409825,fund_003,General Fund,80.0
286409867:1,286409867,fund_003,General Fund,400.0
286443442:1,286443442,fund_003,General Fund,50.0
286443636:1,286443636,fund_003,General Fund,400.0
286444395:1,286444395,fund_003,General Fund,125.0
286445349:1,286445349,fund_003,General Fund,80.0
286445571:1,286445571,fund_003,General Fund,1210.0
286445753:1,286445753,fund_003,General Fund,500.0
286445920:1,286445920,fund_002,Building Fund,200.0
286446071:1,286446071,fund_003,General Fund,220.0
286446335:1,286446335,fund_003,General Fund,150.0
286447145:1,286447145,fund_003,General Fund,190.0
286447549:1,286447549,fund_003,General Fund,175.0
286447751:1,286447751,fund_003,General Fund,100.0
286447907:1,286447907,fund_003,General Fund,50.0
286448091:1,286448091,fund_003,General Fund,50.0
286448360:1,286448360,fund_003,General Fund,1105.0
286448532:1,286448532,fund_003,General Fund,100.0
286448758:1,286448758,fund_003,General Fund,100.0
286448971:1,286448971,fund_003,General Fund,200.0
286449245:1,286449245,fund_003,General Fund,200.0
286449479:1,286449479,fund_003,General Fund,25.0
